City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Burns Lake,CA,54.2331,-125.7533,22.82,77,100,3.74
1,Hithadhoo,MV,-0.6,73.0833,81.21,75,100,15.39
2,Henties Bay,NA,-22.116,14.2845,56.93,87,31,5.5
3,Upernavik,GL,72.7868,-56.1549,14.85,50,30,4.59
4,Tamiahua,MX,21.2667,-97.45,74.34,89,10,2.24
5,Hobart,AU,-42.8794,147.3294,62.46,42,40,23.02
6,Kapaa,US,22.0752,-159.319,79.12,86,75,12.66
7,Acarau,BR,-2.8856,-40.12,77.0,85,32,7.94
8,Albany,US,42.6001,-73.9662,47.73,74,23,1.43
9,Namibe,AO,-15.1961,12.1522,67.59,80,39,2.62
10,New Norfolk,AU,-42.7826,147.0587,62.1,50,76,5.99
11,Bambous Virieux,MU,-20.3428,57.7575,78.22,69,40,12.66
12,Punta Arenas,CL,-53.15,-70.9167,46.11,76,0,20.71
13,Rikitea,PF,-23.1203,-134.9692,69.8,65,100,13.62
14,Dikson,RU,73.5069,80.5464,29.97,99,100,11.1
15,Samsun,TR,41.25,36.3333,59.49,41,0,4.61
16,Bluff,NZ,-46.6,168.3333,56.1,62,68,27.34
17,Ushuaia,AR,-54.8,-68.3,34.74,96,28,4.99
18,Mataura,NZ,-46.1927,168.8643,60.8,46,68,11.01
19,Mount Gambier,AU,-37.8333,140.7667,57.22,56,82,8.88
20,Snezhnogorsk,RU,69.1933,33.2531,22.78,91,95,9.53
21,Sitka,US,57.0531,-135.33,40.89,81,100,18.41
22,Areia Branca,BR,-4.9561,-37.1369,76.08,79,59,14.29
23,Kruisfontein,ZA,-34.0033,24.7314,67.35,76,100,3.15
24,Faanui,PF,-16.4833,-151.75,77.54,80,100,15.9
25,Hualmay,PE,-11.0964,-77.6139,62.19,85,100,6.26
26,Castro,BR,-24.7911,-50.0119,47.16,84,79,9.93
27,Busselton,AU,-33.65,115.3333,73.22,49,100,5.99
28,Bredasdorp,ZA,-34.5322,20.0403,64.83,94,95,6.44
29,Bera,BD,24.0833,89.6167,82.11,55,60,6.76
30,Nikolskoye,RU,59.7035,30.7861,39.09,89,100,3.13
31,Port Hawkesbury,CA,45.6169,-61.3485,43.18,63,10,15.01
32,Khatanga,RU,71.9667,102.5,14.5,93,100,20.33
33,Ancud,CL,-41.8697,-73.8203,52.0,85,0,2.06
34,East London,ZA,-33.0153,27.9116,66.33,87,100,6.96
35,Butaritari,KI,3.0707,172.7902,82.06,66,78,12.91
36,Arraial Do Cabo,BR,-22.9661,-42.0278,67.69,68,100,18.32
37,Hilo,US,19.7297,-155.09,76.24,98,63,3.0
38,Nhulunbuy,AU,-12.2333,136.7667,93.81,52,40,18.41
39,Atuona,PF,-9.8,-139.0333,77.05,76,11,12.37
40,Severo-Kurilsk,RU,50.6789,156.125,43.07,89,100,7.47
41,Fortuna,US,40.5982,-124.1573,43.66,95,100,4.61
42,Tuatapere,NZ,-46.1333,167.6833,55.6,60,68,12.57
43,Rawson,AR,-43.3002,-65.1023,57.9,58,0,16.2
44,Gillette,US,44.2911,-105.5022,37.06,66,100,14.97
45,Yellowknife,CA,62.456,-114.3525,10.51,88,88,15.9
46,Saint-Philippe,RE,-21.3585,55.7679,78.39,76,42,14.38
47,Erzin,TR,36.9559,36.2,61.7,55,0,1.81
48,Sao Filipe,CV,14.8961,-24.4956,79.16,71,68,2.44
49,Bathsheba,BB,13.2167,-59.5167,81.21,78,75,16.11
50,Laguna,US,38.421,-121.4238,50.76,84,0,5.75
51,Mayya,RU,61.7333,130.2811,6.12,90,61,4.5
52,Ketchikan,US,55.3422,-131.6461,39.09,81,100,14.45
53,Enshi,CN,30.3,109.4833,71.49,52,15,0.49
54,Nuuk,GL,64.1835,-51.7216,27.3,49,71,10.16
55,Taft,IR,31.7471,54.2088,51.75,71,100,4.61
56,Kerema,PG,-7.9631,145.7785,85.69,67,77,7.63
57,Akureyri,IS,65.6835,-18.0878,37.06,99,100,3.91
58,Airai,TL,-8.9266,125.4092,75.33,63,45,1.14
59,Remanso,BR,-9.6179,-42.0831,76.46,76,100,4.65
60,Rio Grande,BR,-32.035,-52.0986,42.94,72,0,4.88
61,Lorengau,PG,-2.0226,147.2712,86.59,62,45,2.42
62,Helong,CN,42.5397,128.9972,35.85,22,0,12.75
63,Vaini,TO,-21.2,-175.2,74.37,86,100,22.28
64,At-Bashi,KG,41.1702,75.8106,42.12,46,45,0.98
65,Aloleng,PH,16.1307,119.7824,81.82,78,15,8.84
66,Hermanus,ZA,-34.4187,19.2345,66.79,86,51,2.75
67,Biu,NG,10.6129,12.1946,68.63,43,76,8.46
68,Puerto Ayora,EC,-0.7393,-90.3518,67.48,84,92,8.59
69,Diego De Almagro,CL,-26.3667,-70.05,61.52,32,0,1.41
70,Mahebourg,MU,-20.4081,57.7,78.26,69,40,12.66
71,Klaksvik,FO,62.2266,-6.589,47.32,88,100,3.87
72,Jamestown,US,42.097,-79.2353,46.04,97,0,3.44
73,Sobolevo,RU,54.4299,31.8996,41.56,94,100,1.61
74,Avarua,CK,-21.2078,-159.775,75.25,73,75,17.27
75,Sept-Iles,CA,50.2001,-66.3821,35.06,59,25,8.01
76,Cockburn Town,TC,21.4612,-71.1419,81.36,71,84,16.53
77,Ayaviri,PE,-14.8864,-70.5889,46.71,49,89,2.71
78,Korla,CN,41.7597,86.1469,54.72,31,22,13.11
79,Provideniya,RU,64.3833,-173.3,15.91,48,0,13.42
80,Bogotol,RU,56.2078,89.5342,33.37,63,65,4.29
81,Luena,AO,-11.7833,19.9167,62.96,95,100,3.09
82,Cayenne,GF,4.9333,-52.3333,75.24,100,0,0.0
83,Pangody,RU,65.85,74.4859,10.51,90,90,8.19
84,Jawhar,SO,2.7809,45.5005,79.95,70,43,7.7
85,Kisangani,CD,0.5167,25.2,69.78,99,100,0.65
86,Port Hedland,AU,-20.3167,118.5667,98.65,9,0,14.97
87,Victoria,HK,22.2855,114.1577,74.32,92,100,5.99
88,Barrow,US,71.2906,-156.7887,15.82,79,100,8.05
89,Samfya,ZM,-11.3649,29.5565,74.17,41,83,10.94
90,Comodoro Rivadavia,AR,-45.8667,-67.5,58.46,55,11,3.87
91,Isangel,VU,-19.55,169.2667,86.11,70,75,3.44
92,Port Alfred,ZA,-33.5906,26.891,69.15,83,100,6.69
93,Bubaque,GW,11.2833,-15.8333,82.81,74,33,6.71
94,Cape Town,ZA,-33.9258,18.4232,62.91,86,1,1.01
95,Sorland,NO,67.667,12.6934,47.5,84,100,11.7
96,Andros Town,BS,24.7,-77.7667,80.37,72,90,14.07
97,Taoudenni,ML,22.6783,-3.9836,70.57,15,14,10.11
98,Cidreira,BR,-30.1811,-50.2056,53.87,75,0,3.24
99,Mapiripan,CO,2.8892,-72.1256,64.71,96,100,8.19
100,Carnarvon,AU,-24.8667,113.6333,82.36,39,0,10.94
101,Iqaluit,CA,63.7506,-68.5145,15.53,86,100,29.93
102,Saint-Augustin,CA,51.226,-58.6502,31.35,53,63,24.25
103,San Cristobal,VE,7.7669,-72.225,71.78,99,99,3.29
104,Vaitape,PF,-16.5167,-151.75,77.61,80,100,16.4
